record_id,amount_cents,status
R0600,1200,posted
R0601,1237,posted
R0602,1274,posted
R0603,1311,posted
R0604,1348,posted
R0605,1385,posted
R0606,1422,posted
R0607,1459,posted
R0608,1496,posted
R0609,1533,posted
R0610,1570,posted
R0611,1607,void
R0612,1644,posted
R0613,1681,posted
R0614,1718,posted
R0615,1755,posted
R0616,1792,posted
R0617,1829,posted
R0618,1866,posted
R0619,1903,posted
R0620,1940,posted
R0621,1977,posted
R0622,2014,posted
R0623,2051,posted
R0624,2088,void
R0625,2125,posted
R0626,2162,posted
R0627,2199,posted
R0628,2236,posted
R0629,2273,posted
R0630,2310,posted
R0631,2347,posted
R0632,2384,posted
R0633,2421,posted
R0634,2458,posted
R0635,2495,posted
R0636,2532,posted
R0637,2569,void
R0638,2606,posted
R0639,2643,posted
R0640,2680,posted
R0641,2717,posted
R0642,2754,posted
R0643,2791,posted
R0644,2828,posted
R0645,2865,posted
R0646,2902,posted
R0647,2939,posted
R0648,2976,posted
R0649,3013,posted
R0650,3050,void
R0651,3087,posted
R0652,3124,posted
R0653,3161,posted
R0654,3198,posted
R0655,3235,posted
R0656,3272,posted
R0657,3309,posted
R0658,3346,posted
R0659,3383,posted
R0660,3420,posted
R0661,3457,posted
R0662,3494,posted
R0663,3531,void
