record_id,amount_cents,status
R0540,3980,posted
R0541,-983,posted
R0542,-946,posted
R0543,-909,posted
R0544,-872,posted
R0545,-835,posted
R0546,-798,void
R0547,-761,posted
R0548,-724,posted
R0549,-687,posted
R0550,-650,posted
R0551,-613,posted
R0552,-576,posted
R0553,-539,posted
R0554,-502,posted
R0555,-465,posted
R0556,-428,posted
R0557,-391,posted
R0558,-354,posted
R0559,-317,void
R0560,-280,posted
R0561,-243,posted
R0562,-206,posted
R0563,-169,posted
R0564,-132,posted
R0565,-95,posted
R0566,-58,posted
R0567,-21,posted
R0568,16,posted
R0569,53,posted
R0570,90,posted
R0571,127,posted
R0572,164,void
R0573,201,posted
R0574,238,posted
R0575,275,posted
R0576,312,posted
R0577,349,posted
R0578,386,posted
R0579,423,posted
R0580,460,posted
R0581,497,posted
R0582,534,posted
R0583,571,posted
R0584,608,posted
R0585,645,void
R0586,682,posted
R0587,719,posted
R0588,756,posted
R0589,793,posted
R0590,830,posted
R0591,867,posted
R0592,904,posted
R0593,941,posted
R0594,978,posted
R0595,1015,posted
R0596,1052,posted
R0597,1089,posted
R0598,1126,void
R0599,1163,posted
R0600,1200,posted
R0601,1237,posted
R0602,1274,posted
R0603,1311,posted
